condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive,totalCombatActions,totalTradeActions,totalReproductionActions,totalLendingActions
altruist,7738774760351418614,2.08,True,0,293,43,227,0.0,0.0,0.0,0.0,172,448,43,11
altruist,8286444275301796832,592.65,False,413,23936,24099,5000,117.35,48464.95,0.353,15.09,198,172723,23775,8356
altruist,5131712758418120108,1471.81,False,866,50130,50746,5000,93.67,81117.39,0.339,21.12,187,1210816,50156,36862
altruist,2945194472877206461,2063.31,False,1168,92715,93633,5000,56.43,65908.04,0.178,18.14,218,1875406,92772,37957
altruist,7795859673851708282,3101.22,False,1324,89268,90342,5000,50.92,67422.96,0.159,18.4,333,2377129,89624,35425
altruist,5125821543982213238,1549.91,False,997,56069,56816,5000,79.09,78856.86,0.279,21.82,282,1314139,56136,21419
altruist,3971837850219807024,2.17,True,0,303,53,228,0.0,0.0,0.0,0.0,175,492,53,15
altruist,1885446857198079865,1775.62,False,1065,65649,66464,5000,65.88,70157.74,0.246,19.66,199,1559898,65830,18343
altruist,7008421793132065041,1.73,True,0,275,25,137,0.0,0.0,0.0,0.0,160,462,25,6
altruist,6622000703604942743,1846.8,False,1138,61801,62689,5000,60.76,69142.09,0.273,18.01,494,1625358,62082,21475
altruist,6344863178936378387,143.49,False,78,6458,6286,5000,89.27,6963.18,0.245,11.79,175,13928,6228,969
altruist,4879548657232103939,241.12,False,196,10985,10931,5000,97.34,19078.84,0.314,9.68,174,35942,10801,1170
altruist,801519116549617023,1.67,True,0,275,25,183,0.0,0.0,0.0,0.0,162,436,25,12
altruist,8474893131606635472,1730.45,False,1071,75626,76447,5000,71.36,76426.69,0.224,20.77,225,1451537,75507,25887
altruist,2302636251494628997,2202.9,False,1278,90975,92003,5000,53.98,68986.28,0.169,18.42,420,2015824,91171,28662
altruist,1453607047024582931,1907.36,False,1157,86614,87521,5000,62.82,72684.66,0.189,20.2,699,1754863,86743,29481
altruist,5408184617760098545,2620.33,False,1297,86013,87060,5000,56.36,73099.59,0.153,19.66,591,2248671,86365,39335
altruist,6670988768861278913,2044.95,False,1164,89082,89996,5000,52.69,61334.02,0.196,17.18,285,1933143,89127,29734
altruist,3547098369942706623,2419.26,False,1195,82972,83917,5000,61.83,73891.78,0.168,20.49,571,1812987,83088,31032
altruist,1283066103397798384,1093.79,False,524,39785,40059,5000,70.11,36735.61,0.241,10.97,170,227913,39533,9503
altruist,7012091250016467664,2416.57,False,1207,80775,81732,5000,63.36,76473.09,0.197,21.3,267,1998945,81013,13639
altruist,8363943803604256569,3099.99,False,1317,94992,96059,5000,56.89,74919.17,0.166,20.92,633,2427003,95449,14452
altruist,3000438492122948673,849.34,False,517,40392,40659,5000,79.89,41301.13,0.265,12.38,204,289172,40185,8129
bentham,2053695854357871005,2565.6,False,1411,92524,93685,5000,51.29,72373.3,0.16,19.03,2805,1906691,92857,36597
bentham,4517457392071889495,915.84,False,923,75050,75723,5000,60.36,55708.1,0.274,17.61,2164,1240689,74866,36642
bentham,2574020394472462046,3190.23,False,1480,96212,97442,5000,46.1,68226.97,0.162,17.57,2747,2217233,96586,26828
bentham,1890702223848595625,3689.07,False,1443,106486,107679,5000,47.89,69098.06,0.163,18.0,2593,2472421,106822,19820
bentham,586287033698423193,3587.54,False,1472,105406,106628,5000,47.04,69244.02,0.17,17.93,2405,2454979,105469,20421
bentham,1728372192399379054,812.32,False,908,75093,75751,5000,59.47,53994.58,0.253,17.51,2087,1261400,74728,37437
bentham,4291835990902352011,2963.41,False,1392,104310,105452,5000,49.1,68345.43,0.158,17.76,2891,2218138,104497,37825
bentham,7738774760351418614,2233.25,False,1413,99477,100640,5000,50.65,71571.12,0.159,18.27,2223,1925401,99565,43701
bentham,8286444275301796832,3195.42,False,1406,103683,104839,5000,48.66,68420.41,0.161,18.04,3280,2259478,103896,31558
bentham,5131712758418120108,3483.49,False,1437,104379,105566,5000,47.54,68315.39,0.159,18.16,2452,2410739,104652,40268
bentham,2945194472877206461,794.41,False,896,71682,72328,5000,59.2,53040.2,0.252,17.71,2432,1202114,71493,35969
bentham,7795859673851708282,3101.88,False,1431,102052,103233,5000,49.27,70505.64,0.167,18.33,3973,2277075,102286,22237
bentham,5125821543982213238,896.74,False,907,73607,74264,5000,61.22,55528.03,0.238,18.37,3208,1332695,73369,48509
bentham,3971837850219807024,3221.71,False,1431,111530,112711,5000,44.91,64267.29,0.169,16.64,3301,2351882,111490,25317
bentham,1885446857198079865,3372.51,False,1410,107047,108207,5000,52.98,74696.07,0.159,19.62,2737,2298576,107328,24116
bentham,7008421793132065041,3431.04,False,1425,105225,106400,5000,48.51,69120.3,0.163,18.48,2951,2380884,105565,26592
bentham,6622000703604942743,815.55,False,911,71214,71875,5000,59.93,54600.72,0.241,18.03,3136,1320630,71074,40030
bentham,6344863178936378387,3673.29,False,1445,107187,108382,5000,48.66,70314.26,0.166,18.23,3823,2437522,107439,20415
bentham,4879548657232103939,3517.83,False,1431,108182,109363,5000,46.7,66823.19,0.169,17.69,3667,2488325,108296,20885
bentham,801519116549617023,3714.92,False,1461,112288,113499,5000,45.04,65802.58,0.168,17.2,3155,2621335,112443,19577
bentham,8474893131606635472,2986.24,False,1437,103031,104218,5000,46.73,67150.24,0.165,17.31,2271,2187728,103292,26470
bentham,2302636251494628997,833.21,False,905,70284,70939,5000,59.79,54107.53,0.256,18.23,2887,1261518,70164,35672
bentham,1453607047024582931,2901.61,False,1458,100186,101394,5000,48.92,71326.76,0.168,18.58,3938,2111630,100444,23612
bentham,5408184617760098545,3019.05,False,1446,97278,98474,5000,46.62,67419.66,0.16,17.72,2999,2179118,97608,24114
bentham,6670988768861278913,3420.47,False,1431,103795,104976,5000,47.18,67508.98,0.165,17.63,4555,2399598,103968,26569
bentham,3547098369942706623,3385.91,False,1444,102760,103954,5000,48.96,70704.02,0.17,18.07,2877,2329629,103120,22087
bentham,1283066103397798384,743.14,False,911,66588,67249,5000,63.88,58193.21,0.255,19.08,3198,1196679,66399,35850
bentham,7012091250016467664,3049.44,False,1453,102549,103752,5000,48.02,69778.63,0.156,18.17,3202,2309099,102817,31387
bentham,8363943803604256569,3541.79,False,1470,100824,102044,5000,47.74,70177.99,0.156,18.16,3316,2400502,101239,31159
bentham,3000438492122948673,743.88,False,910,62774,63434,5000,63.62,57892.39,0.246,18.73,2130,1221722,62800,39977
